iteration 02-ubuntu-max
1 0.994890
2 0.996850
3 0.997340
4 0.997670
5 0.997720
6 0.997800
7 0.997830
8 0.998030
9 0.998310
10 0.998350
11 0.998450
12 0.998530
13 0.998540
14 0.998550
15 0.998580
16 0.998750
17 0.998790
18 0.998800
19 0.998800
20 0.999430
21 0.999540
22 0.999540
23 0.999610
24 0.999610
25 0.999610
26 0.999770
27 0.999770
28 0.999770
29 0.999770
30 0.999770
31 0.999770
32 0.999770
33 0.999770
34 0.999790
35 0.999790
36 0.999790
37 0.999790
38 0.999790
39 0.999890
40 0.999960
41 0.999960
42 0.999960
43 0.999960
44 0.999960
45 0.999960
46 0.999960
47 0.999960
48 0.999960
49 0.999960
50 0.999960
51 0.999960
52 0.999960
53 0.999960
54 0.999960
55 0.999960
56 0.999980
57 0.999980
58 0.999980
59 0.999980
60 0.999980
61 0.999980
62 0.999980
63 0.999980
64 0.999980
65 0.999980
66 0.999980
67 0.999980
68 1.000000
69 1.000000
70 1.000000
71 1.000000
72 1.000000
73 1.000000
74 1.000000
75 1.000000
76 1.000000
77 1.000000
78 1.000000
79 1.000000
80 1.000000
81 1.000000
82 1.000000
83 1.000000
84 1.000000
85 1.000000
86 1.000000
87 1.000000
88 1.000000
89 1.000000
90 1.000000
91 1.000000
92 1.000000
93 1.000000
94 1.000000
95 1.000000
96 1.000000
97 1.000000
98 1.000000
99 1.000000
100 1.000000
