iteration alpine
1 0.994450
2 0.994840
3 0.994980
4 0.995550
5 0.996090
6 0.996120
7 0.996300
8 0.996310
9 0.996700
10 0.996700
11 0.996770
12 0.997000
13 0.997010
14 0.997010
15 0.997020
16 0.997020
17 0.997040
18 0.997040
19 0.997410
20 0.997410
21 0.997490
22 0.997550
23 0.997550
24 0.997550
25 0.997550
26 0.997800
27 0.997800
28 0.998070
29 0.998100
30 0.998330
31 0.998330
32 0.998330
33 0.998330
34 0.998330
35 0.998330
36 0.998350
37 0.998360
38 0.998360
39 0.998360
40 0.998370
41 0.998370
42 0.998370
43 0.998370
44 0.998370
45 0.998460
46 0.998460
47 0.998640
48 0.998640
49 0.998650
50 0.998650
51 0.998650
52 0.998670
53 0.998670
54 0.998670
55 0.998670
56 0.998740
57 0.998740
58 0.998740
59 0.998740
60 0.998820
61 0.998820
62 0.998820
63 0.998820
64 0.998820
65 0.998820
66 0.998820
67 0.998820
68 0.998820
69 0.998820
70 0.998850
71 0.998850
72 0.998850
73 0.998850
74 0.998850
75 0.998850
76 0.998850
77 0.998850
78 0.998850
79 0.998850
80 0.998850
81 0.998850
82 0.998850
83 0.998850
84 0.998850
85 0.998850
86 0.998850
87 0.998860
88 0.998870
89 0.998880
90 0.998900
91 0.998910
92 0.998930
93 0.998950
94 0.998980
95 0.999010
96 0.999070
97 0.999140
98 0.999260
99 0.999390
100 1.000000
