iteration 02-alpine
1 0.996350
2 0.997530
3 0.997620
4 0.998280
5 0.998560
6 0.998590
7 0.998590
8 0.998590
9 0.998590
10 0.998590
11 0.998630
12 0.998710
13 0.998820
14 0.999070
15 0.999070
16 0.999070
17 0.999190
18 0.999220
19 0.999220
20 0.999290
21 0.999290
22 0.999290
23 0.999290
24 0.999290
25 0.999290
26 0.999290
27 0.999290
28 0.999290
29 0.999340
30 0.999410
31 0.999420
32 0.999800
33 0.999800
34 0.999810
35 0.999810
36 0.999810
37 0.999920
38 0.999950
39 0.999950
40 0.999950
41 0.999950
42 0.999950
43 0.999980
44 0.999980
45 0.999980
46 1.000000
47 1.000000
48 1.000000
49 1.000000
50 1.000000
