iteration docker
1 0.989290
2 0.990220
3 0.990480
4 0.990870
5 0.991100
6 0.991160
7 0.991160
8 0.991510
9 0.991540
10 0.991550
11 0.991550
12 0.991910
13 0.991920
14 0.992080
15 0.992080
16 0.992130
17 0.992140
18 0.992150
19 0.992170
20 0.992170
21 0.992170
22 0.992230
23 0.992230
24 0.992240
25 0.992250
26 0.992250
27 0.992250
28 0.992250
29 0.992280
30 0.992280
31 0.992280
32 0.992330
33 0.992330
34 0.992460
35 0.992460
36 0.992660
37 0.992660
38 0.992660
39 0.992670
40 0.992670
41 0.992670
42 0.992680
43 0.992680
44 0.992680
45 0.992940
46 0.992940
47 0.992940
48 0.992940
49 0.992940
50 0.992940
51 0.992940
52 0.992940
53 0.992940
54 0.992940
55 0.992940
56 0.992940
57 0.992940
58 0.992940
59 0.993250
60 0.993250
61 0.995630
62 0.995630
63 0.995630
64 0.995630
65 0.995630
66 0.995640
67 0.995640
68 0.995640
69 0.995640
70 0.995640
71 0.995640
72 0.995640
73 0.995640
74 0.995700
75 0.995700
76 0.995700
77 0.995700
78 0.995700
79 0.995700
80 0.995700
81 0.995700
82 0.995700
83 0.996180
84 0.996180
85 0.996250
86 0.996250
87 0.998660
88 0.998940
89 0.998950
90 0.998960
91 0.998970
92 0.998980
93 0.999060
94 0.999080
95 0.999130
96 0.999200
97 0.999270
98 0.999490
99 0.999720
100 1.000000
