iteration 03-docker
1 0.993870
2 0.994410
3 0.997360
4 0.997420
5 0.997630
6 0.998440
7 0.998480
8 0.998490
9 0.998560
10 0.998640
11 0.998660
12 0.998680
13 0.998680
14 0.998680
15 0.998680
16 0.998680
17 0.998690
18 0.998690
19 0.998720
20 0.998730
21 0.998730
22 0.998730
23 0.998730
24 0.998780
25 0.998780
26 0.998780
27 0.998780
28 0.998800
29 0.998800
30 0.998800
31 0.998800
32 0.998800
33 0.998800
34 0.999060
35 0.999100
36 0.999100
37 0.999110
38 0.999110
39 0.999110
40 0.999110
41 0.999620
42 0.999620
43 0.999620
44 0.999680
45 0.999680
46 0.999760
47 0.999760
48 0.999770
49 1.000000
50 1.000000
