iteration 04-busybox
1 0.997340
2 0.997370
3 0.998390
4 0.998410
5 0.998520
6 0.998530
7 0.998620
8 0.998780
9 0.998840
10 0.999010
11 0.999340
12 0.999540
13 0.999540
14 0.999540
15 0.999540
16 0.999560
17 0.999560
18 0.999560
19 0.999560
20 0.999710
21 0.999730
22 0.999730
23 0.999730
24 0.999730
25 0.999780
26 0.999790
27 0.999790
28 0.999790
29 0.999790
30 0.999790
31 0.999910
32 0.999910
33 0.999910
34 0.999910
35 0.999940
36 0.999940
37 0.999960
38 0.999960
39 0.999960
40 0.999960
41 0.999960
42 0.999960
43 0.999960
44 0.999960
45 0.999970
46 0.999970
47 1.000000
48 1.000000
49 1.000000
50 1.000000
