iteration hello-world
1 0.996260
2 0.996300
3 0.997340
4 0.997440
5 0.998200
6 0.998200
7 0.998640
8 0.998640
9 0.998860
10 0.998860
11 0.998860
12 0.998890
13 0.998890
14 0.998930
15 0.998950
16 0.998960
17 0.998960
18 0.998970
19 0.998970
20 0.998980
21 0.998980
22 0.998980
23 0.999040
24 0.999040
25 0.999190
26 0.999600
27 0.999610
28 0.999670
29 0.999670
30 0.999670
31 0.999690
32 0.999690
33 0.999860
34 0.999870
35 0.999960
36 0.999960
37 0.999960
38 0.999960
39 0.999960
40 0.999960
41 0.999960
42 0.999960
43 0.999960
44 0.999960
45 0.999960
46 0.999960
47 0.999960
48 0.999960
49 0.999960
50 1.000000
