iteration 06-httpd
1 0.997310
2 0.997520
3 0.997770
4 0.998020
5 0.998080
6 0.998720
7 0.998910
8 0.998940
9 0.998940
10 0.999010
11 0.999010
12 0.999080
13 0.999100
14 0.999110
15 0.999130
16 0.999130
17 0.999240
18 0.999310
19 0.999310
20 0.999310
21 0.999400
22 0.999410
23 0.999430
24 0.999430
25 0.999430
26 0.999430
27 0.999430
28 0.999430
29 0.999430
30 0.999430
31 0.999430
32 0.999430
33 0.999430
34 0.999430
35 0.999430
36 0.999620
37 0.999940
38 0.999940
39 0.999940
40 0.999940
41 0.999940
42 0.999940
43 0.999940
44 0.999940
45 0.999940
46 0.999940
47 0.999970
48 1.000000
49 1.000000
50 1.000000
