iteration 07-memcached
1 0.996140
2 0.996900
3 0.997150
4 0.997200
5 0.997400
6 0.997690
7 0.997720
8 0.997930
9 0.998670
10 0.998830
11 0.998840
12 0.998870
13 0.998900
14 0.998950
15 0.998970
16 0.999060
17 0.999060
18 0.999250
19 0.999280
20 0.999280
21 0.999280
22 0.999310
23 0.999450
24 0.999470
25 0.999470
26 0.999470
27 0.999470
28 0.999570
29 0.999570
30 0.999570
31 0.999570
32 0.999570
33 0.999570
34 0.999570
35 0.999590
36 0.999620
37 0.999650
38 0.999870
39 0.999870
40 0.999870
41 0.999870
42 0.999970
43 0.999970
44 0.999970
45 0.999970
46 0.999990
47 0.999990
48 0.999990
49 0.999990
50 1.000000
