iteration 08-redis
1 0.995700
2 0.995980
3 0.996000
4 0.996110
5 0.996160
6 0.996170
7 0.996200
8 0.996460
9 0.996480
10 0.996610
11 0.996630
12 0.997260
13 0.997260
14 0.997650
15 0.998150
16 0.998150
17 0.998190
18 0.998200
19 0.998660
20 0.998660
21 0.998670
22 0.998690
23 0.999090
24 0.999360
25 0.999360
26 0.999630
27 0.999630
28 0.999640
29 0.999640
30 0.999640
31 0.999640
32 0.999680
33 0.999680
34 0.999680
35 0.999680
36 0.999750
37 0.999750
38 0.999870
39 0.999870
40 0.999870
41 0.999870
42 0.999870
43 0.999870
44 0.999870
45 0.999890
46 0.999930
47 0.999930
48 0.999930
49 0.999930
50 1.000000
